"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"662";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,86029411764706;3,38235294117647;1000;3000;53,2000000000002;2268,70909092116;21,7000000000001;53,2000000000002;-1
"663";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,73529411764706;3,44852941176471;1000;3000;53,0936784180903;1457,77010393929;53,0936784180903;12,5748185727056;1
"664";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,65441176470588;3,47058823529412;1000;3000;52,8999950393273;1851,38999497676;52,8999950393273;15,1142842969507;1
"665";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,90441176470588;3,46323529411765;1000;3000;52,5433021337339;1730,24815803681;52,5433021337339;13,9888012174227;1
"666";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,98529411764706;3,69117647058824;1000;3000;52,8322470372929;1395,30007199784;52,8322470372929;12,0377271730541;1
"667";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,08823529411765;3,94852941176471;1000;3000;52,5812528180644;2287,30106291833;22,139474870764;52,5812528180644;-1
"668";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,02941176470588;3,68382352941176;1000;3000;52,9013482699326;1693,63901626392;9,2749117096635;52,9013482699326;-1
"669";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,5;3,38970588235294;1000;3000;53,2182411595937;1635,89293404439;14,7637701281453;53,2182411595937;-1
"670";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,74264705882353;3,52205882352941;1000;3000;53,4197913154312;1521,88781053519;53,4197913154312;12,9296310190216;1
"671";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,83088235294118;3,74264705882353;1000;3000;53,0089910059566;1776,01072025801;53,0089910059566;17,6696636686522;1
